Water,Yeti,Abominable Snowman
Mud,Venus,Adam
Continent,Swamp,Africa
Cold,Engine,Air Conditioner
Battleship,Battleship,Aircraft Carrier
Steampunk Pirate,Wind,Airship
Philosopher,Fire,Alchemist
Batman,Wisdom,Alfred
Lava Lamp,Lunar,Alien
Pollen,Surf,Allergy
Hawaii,Leaf,Aloha
Wolf,Wolf Pack,Alpha
Jungle,River,Amazon
Cologne,Fossil,Amber
Rainbow,Continent,America
Fossil,Roll,Ammonite
Software,Planet,Android
Incense,Prayer,Angel
Earth,Zoo,Animal
Zoo,Disney,Animal Kingdom
Japan,America,Anime
Birthday,Marriage,Anniversary
Continent,Ice,Antarctica
Vintage,Time,Antique
Monkey,Monkey,Ape
God,Nuke,Apocalypse
Flag,Moon,Apollo
Fruit,Adam,Apple
Apple,Rain,Apple Juice
Fruit Tree,America,Apple Pie
Number,Land,Area
Country,Messi,Argentina
Whale,Vase,Ariel
People,Gun,Army
Terminator,Weed,Arnold Schwarzenegger
Stalker,Fire,Arsonist
Drawing,Mountain,Art
Technology,Art,Artificial Intelligence
Ash,Continent,Asia
Fire,Tree,Ash
King,Gun,Assassin
Sadness,Religion,Atheism
Atheism,Human,Atheist
Island,Ocean,Atlantis
Titan,Earth,Atlas
Continent,Surf,Australia
Wind,Mountain,Avalanche
Family,Human,Baby
Dinosaur,Egg,Baby Dinosaur
Lovebird,Lovebird,Baby Lovebird
Polar Bear,Polar Bear,Baby Polar Bear
Pig,Fire,Bacon
Volcano,Bacon,Baconator
Bacon,Unicorn,Baconcorn
Baconcorn,T-Rex,Baconasaurus
Baconasaurus,Baconasaurus,Baconasaurus Rex
Baconasaurus,Zeus,Bacon Zeus
Wind,Wine,Balloon
Banana,Ship,Banana Boat
Banana,Banana,Banana Split
Titanic,Money,Bankrupt
Drunk,Money,Bar
Dinosaur,Obama,Barackasaurus
Fire,Pork,Barbecue
Black,Vampire,Bat
Bat,Bat,Batman
War,War,Battle
Tank,Ship,Battleship
Cubs,Cubs,Bear
Hair,Hair,Beard
Beauty,King Kong,Beauty and the Beast
Honeycomb,Honeycomb,Beehive
Peach,Rum,Bellini
Viking,Monster,Berserker
Friend,Friend,Best Friend
Time,Universe,Big Bang
Golem,Loch Ness Monster,Bigfoot
Cyborg,Weed,Bionic Bud
Kite,Flying,Bird
Cake,Cake,Birthday Cake
Cryptocurrency,Crown,Bitcoin
Galaxy,Galaxy,Black Hole
Pirate Ship,Time Travel,Blackbear
Snow,Wind,Blizzard
Water,Tractor,Boat
Swamp,Swamp,Bog
Explosion,Energy,Bomb
Japan,Tree,Bonsai
Paper,Paper,Book
Book,Book,Bookshelf
Wine,Future,Bottle
Stone,Stone,Boulder
Garden,Flower,Bouquet
Pandora,Beauty,Box
Mario,Napoleon Complex,Bowser
Bowser,Baby,Bowser Jr.
South America,Continent,Brazil
Wheat,Food,Bread
Bread,Star,Breadstick
Egg,Bacon,Breakfast
Coin,Sweet Talk,Bribe
Clay,Clay,Brick
Wedding,Beauty,Bride
Cowboy,Best Friend,Bro
Heart,Heartbreak,Broken Heart
Mud,Chocolate,Brownies
Batman,Alcohol,Bruce Wayne
Tree,Wisdom,Buddha
Mickey Mouse,Hare,Bugs Bunny
Construction,Construction,Building
Glass,Train,Bullet
House,Nuke,Bunker
Fire,Letter,Burn
Weed,Weed,Bush
Skyscraper,Human,Businessman
Toast,Fire,Burnt Toast
Toast,Oil,Butter
Lightsaber,Robot,C-3PO
Desert,Plant,Cactus
Butter,Egg,Cake
Sun,Year,Calendar
Country,Angkor Wat,Cambodia
Camel,Dinosaur,Camelot
Fire,Ship,Cannon
Fire,Cannon,Cannonball
Africa,Atlantic Ocean,Cape Verde
Pirate,Pirate Ship,Captain
Pirate,Dragon,Captain Hook
Pirate,Pina Colada,Captain Morgan
Engine,Plant,Car
Venus Flytrap,Plant,Carnivorous Plant
Bugs Bunny,Weapon,Carrot
Vegas,Shark,Casino
House,War,Castle
YouTube,Cat,Cat Video
Religion,Mario,Catholic
House,Pot,Cauldron
Bear,Earth,Cave
Grave,Grave,Cemetary
Human,Horse,Centaur
New York,Tree,Central Park
Pottery,Cauldron,Ceramic
Fire,Walkman,CD
Obama,Hope,Change
Universe,Entropy,Chaos
Moon,Mud,Cheese
Leopard,Leopard,Cheetah
Egg,Omelete,Chef
Pirate,Treasure,Chest
Egg,Fire Flower,Chicken
Chicken Parmesan,Lemonade,Chicken Parm Lemonade
Chicken,Cheese,Chicken Parmesan
Baby,Baby,Child
Minotaur,Centaur,Chimera
Monkey,Peanut Butter,Chimpanzee
Chinese,Island,China
Asia,Human,Chinese
Mud,Rainforest,Chocolate
Tree,Star,Christmas
Pine,Battery,Christmas Tree
Serial Killer,Vomit,Chuck Norris
God,House,Church
Apple,Water,Cider
Ash,Dust,Cinder
Town,Town,City
Mud,Mud,Clay
Dust,Weed,Clean
King Arthur,Egypt,Cleopatra
Computer,Time,Clock
Wind,Steam,Cloud
Cloud,Venus Flytrap,Cloud Trap
Chocolate,Soil,Cocoa
Palm,Tree,Coconut
Coconut,Coconut,Coconut Tree
Mud,Metal,Coin
Fog,Sneeze,Cold
Alcohol,Perfume,Cologne
System,Fire,Computer
Book,Chinese,Confucius
Video,Game,Console
Brick,Crane,Construction
Island,Island,Continent
Animal,Fire,Cooked
Animal,Oven,Cookie
Dragon,Cookie,Cookie Monster
Cookie,Milkshake,Cookie Shake
Seed,Ocean,Coral
Coral,Venus Flytrap,Coral Reef
Universe,Galaxy,Cosmos
Pencil,Sick,Cough
Cough,Alcohol,Cough Syrup
Vampire,Weed,Count
Number,Count,Counting
Count,TV,Countdown
City,Continent,Country
Jetski,Tumbleweed,Cowboy
Swamp,Bird,Crane
Plane,Fire,Crash
Swamp,Tank,Crocodile
Crocodile,YouTube,Crocodile Hunter
Crocodile,Pig,Crocopig
Field,Fire,Crop
Boat,Honeymoon,Cruise
Bible,Battle,Crusade
Knight,Paladin,Crusader
Broken Heart,Tearjerker,Crying
Tomb,Grave,Crypt
Crypt,Hacker,Cryptocurrency
Loch Ness Monster,Bigfoot,Cryptozoology
Kraken,Monster,Cthulhu
Lion,Lioness,Cubs
Teddy Bear,Cheetah,Cuddly
Vase,Pegasus,Cupid
Mummy,Pot,Curse
Cryptocurrency,Curse,Cursed Coin
Computer,Android,Cyborg
Planet,Tornado,Cyclone
Party,Music,Dance
Plant,Wind,Dandelion
Dandelion,Dandelion,Dandelion Patch
Light Saber,Dragon,Darth Vader
Monkey,Philosopher,Darwin
Gun,Everything,Dead
Life,Vampire,Death
Death,Anime,Death Note
Star Wars,Planet,Death Star
Vomit,Window,Defenestration
Hell,Grudge,Demon
Mosquito,Egg,Dengue
Bacon,Europe,Denmark
Sadness,Sadness,Depression
Sand,Sand,Desert
Tornado,Tsunami,Destruction
Angel,Smoke,Devil
Rainbow,Fossil,Dinosaur
Magic,Park,Disney
Marriage,Love,Divorce
Human,Music,DJ
Sickness,Wisdom,Doctor
